member_id,cwd_tier
1007834136,CLSC
1007834466,CLSC
1007846593,BLCK
1007846791,CLSC
1007850363,CLSC
1007852617,CLSC
1007852633,CLSC
1007853490,CLSC
1007854001,BLCK
1007854423,BLCK
1007854514,BLCK
1007862186,BLCK
1007862244,BLCK
1007863481,BLCK
1007863713,CLSC
1007863952,BLCK
1007864000,BLCK
1007864851,BLCK
1007864869,CLSC
1007865502,BLCK
1007865718,CLSC
1007869090,CLSC
1007869280,BLCK
1007870114,CLSC
1007872110,CLSC
1007879925,CLSC
1007880154,CLSC
1007880303,CLSC
1007881426,BLCK
1007881434,BLCK
1007882531,BLCK
1007885328,CLSC
1007886425,CLSC
1007889601,CLSC
1007893678,CLSC
1007901133,CLSC
1007908914,CLSC
1007917386,CLSC
1007938861,CLSC
1007943283,CLSC
1007962879,CLSC
1007967001,CLSC
1007967423,CLSC
1007967852,CLSC
1007977125,CLSC
1007981697,BLCK
1007983065,CLSC
1007984238,BLCK
1007984352,BLCK
1007985516,CLSC
1007986548,BLCK
1007986738,BLCK
1007986902,CLSC
1007986936,CLSC
1007987298,CLSC
1007987520,CLSC
1007996679,CLSC
1007997941,CLSC
1008000430,CLSC
1008000992,CLSC
1008007484,CLSC
1008007807,CLSC
1008012856,CLSC
1008014506,CLSC
1008014662,CLSC
1008017913,CLSC
1008022772,CLSC
1008033373,CLSC
1008035063,CLSC
1008035600,CLSC
1008039081,CLSC
1008048553,CLSC
1008049759,CLSC
1008050914,CLSC
1008051540,CLSC
1008059444,CLSC
1008065953,CLSC
1008071456,CLSC
1008084756,CLSC
1008085985,CLSC
1008086330,CLSC
1008088930,CLSC
1008091009,CLSC
1008092312,CLSC
1008095018,CLSC
1008096974,CLSC
1008105379,CLSC
1008105569,CLSC
1008105965,CLSC
1008109066,CLSC
1008111591,CLSC
1008114082,CLSC
1008125989,CLSC
1008127621,CLSC
1008128413,CLSC
1008128652,CLSC
1008129403,CLSC
1008129601,CLSC
1008132845,CLSC
1008135053,CLSC
1008142430,CLSC
1008142786,CLSC
1008146241,CLSC
1008146589,CLSC
1008147223,CLSC
1008147421,CLSC
1008148908,CLSC
1008149484,CLSC
1008151795,CLSC
1008156091,CLSC
1008156901,CLSC
1008159830,CLSC
1008160291,CLSC
1008163295,CLSC
1008168211,CLSC
1008171454,CLSC
1008173583,CLSC
1008180935,CLSC
1008185330,CLSC
1008196907,CLSC
1008197194,CLSC
1008204743,CLSC
1008212019,CLSC
1008215806,BLCK
1008227660,BLCK
1008231126,BLCK
1008252478,BLCK
1008254268,BLCK
1008263558,BLCK
1008264861,BLCK
1008267492,BLCK
1008267856,BLCK
1008268052,BLCK
1008268078,BLCK
1008268219,BLCK
1008269563,BLCK
1008269811,BLCK
1008270496,BLCK
1008276634,BLCK
1008283374,BLCK
1008283507,BLCK
1008296624,BLCK
1008296830,BLCK
1008299339,BLCK
1008305102,BLCK
1008305920,BLCK
1008306936,BLCK
1008308023,BLCK
1008308817,BLCK
1008317560,CLSC
1008317859,CLSC
1008318113,BLCK
1008318832,BLCK
1008363184,BLCK
1008363341,BLCK
1008363523,BLCK
1008363689,BLCK
1008363697,BLCK
1008373241,BLCK
1008375634,BLCK
1008375782,BLCK
1008375790,BLCK
1008376491,BLCK
1008376806,BLCK
1008377358,BLCK
1008378273,BLCK
1008381970,BLCK
1008382218,BLCK
1008382390,BLCK
1008400051,BLCK
1008400770,BLCK
1008401950,BLCK
1008405043,BLCK
1008405241,BLCK
1008405662,BLCK
1008406959,BLCK
1008409854,BLCK
1008409979,CLSC
1008430801,CLSC
1008431502,CLSC
1008432229,CLSC
1008437368,CLSC
1008444299,CLSC
1008445494,CLSC
1008445684,CLSC
1008445825,CLSC
1008453381,BLCK
1008454975,BLCK
1008455030,BLCK
1008455105,BLCK
1008455550,BLCK
1008455576,CLSC
1008455584,BLCK
1008455808,BLCK
1008464396,BLCK
1008472100,BLCK
1008478701,BLCK
1008499517,BLCK
